Country;Frequency Range;Allocations;Applications
"Sweden (PTS)";"5.6815 - 5.73 MHz";"Luftfartsradio (RR AP26)";"#5D88FF"
"Sweden (PTS)";"5.73 - 5.9 MHz";"Tillämpningar för järnväg (Undantag från tillståndsplikt)";"#FFD500"
"Sweden (PTS)";"5.9 - 6.2 MHz";"Rundradio";"#80C0C0"
"Sweden (PTS)";"6.2 - 6.525 MHz";"Sjöfartsradio (RR AP15, RR AP17)";"#008080"
"Sweden (PTS)";"6.525 - 6.685 MHz";"Luftfartsradio (RR AP27)";"#5D88FF"
"Sweden (PTS)";"6.685 - 6.765 MHz";"Luftfartsradio (RR AP26)";"#5D88FF"
"Sweden (PTS)";"6.765 - 7 MHz";"Tillämpningar för järnväg (Undantag från tillståndsplikt)";"#FFD500"
"Sweden (PTS)";"7 - 7.2 MHz";"Amatörradio (Undantag från tillståndsplikt)";"#FF0000"
"Sweden (PTS)";"7.2 - 7.45 MHz";"Rundradio";"#80C0C0"
"Sweden (PTS)";"7.45 - 8.1 MHz";"Tillämpningar för järnväg (Undantag från tillståndsplikt)";"#FFD500"
"Sweden (PTS)";"8.1 - 8.195 MHz";"Sjöfartsradio";"#008080"
"Sweden (PTS)";"8.195 - 8.815 MHz";"Sjöfartsradio (RR AP15, RR AP17)";"#008080"
"Sweden (PTS)";"8.815 - 8.965 MHz";"Luftfartsradio (RR AP27)";"#5D88FF"
"Sweden (PTS)";"8.965 - 9.04 MHz";"Luftfartsradio (RR AP26)";"#5D88FF"
"Sweden (PTS)";"9.04 - 9.4 MHz";"Fast radio";"#FF0077"
"Sweden (PTS)";"9.4 - 9.9 MHz";"Rundradio";"#80C0C0"
"Sweden (PTS)";"9.9 - 9.995 MHz";"Fast radio";"#FF0077"
"Sweden (PTS)";"9.995 - 10.005 MHz";"Standardfrekvens och tidssignal";"#FF00FF"
"Sweden (PTS)";"10.005 - 10.1 MHz";"Luftfartsradio (RR AP27)";"#5D88FF"
"Sweden (PTS)";"10.1 - 10.15 MHz";"Amatörradio (Undantag från tillståndsplikt)";"#FF0000"
"Sweden (PTS)";"10.12675 - 10.13925 MHz";"Radiofyr QRPP CW - Öxabäck";"#FF0000"
"Sweden (PTS)";"10.15 - 11.175 MHz";"Sjöfartsradio";"#008080"
"Sweden (PTS)";"11.175 - 11.275 MHz";"Induktiva tillämpningar (Undantag från tillståndsplikt, Not 1)";"#FFFFFF"
"Sweden (PTS)";"11.275 - 11.4 MHz";"Luftfartsradio (RR AP27)";"#5D88FF"
"Sweden (PTS)";"11.4 - 11.6 MHz";"Fast radio";"#FF0077"
"Sweden (PTS)";"11.6 - 12.1 MHz";"Rundradio";"#80C0C0"
"Sweden (PTS)";"12.1 - 12.23 MHz";"Fast radio";"#FF0077"
"Sweden (PTS)";"12.23 - 13.2 MHz";"Sjöfartsradio (RR AP15, RR AP17)";"#008080"
"Sweden (PTS)";"13.2 - 13.26 MHz";"Luftfartsradio (RR AP26)";"#5D88FF"
"Sweden (PTS)";"13.26 - 13.36 MHz";"Luftfartsradio (RR AP27)";"#5D88FF"
"Sweden (PTS)";"13.36 - 13.41 MHz";"Radioastronomi (Onsala rymdobservatorium)";"#FFFF00"
"Sweden (PTS)";"13.41 - 13.57 MHz";"Sjöfartsradio";"#008080"
"Sweden (PTS)";"13.57 - 13.87 MHz";"Induktiva tillämpningar (Undantag från tillståndsplikt, Not 1)";"#FFFFFF"
"Sweden (PTS)";"13.87 - 14 MHz";"Sjöfartsradio";"#008080"
"Sweden (PTS)";"14 - 14.35 MHz";"Amatörradio (Undantag från tillståndsplikt)";"#FF0000"
"Sweden (PTS)";"14.35 - 14.99 MHz";"Sjöfartsradio";"#008080"
"Sweden (PTS)";"14.99 - 15.01 MHz";"Standardfrekvens och tidssignal";"#FF00FF"
"Sweden (PTS)";"15.01 - 15.1 MHz";"Luftfartsradio (RR AP26)";"#5D88FF"
"Sweden (PTS)";"15.1 - 15.8 MHz";"Rundradio";"#80C0C0"
"Sweden (PTS)";"15.8 - 16.36 MHz";"Fast radio";"#FF0077"
"Sweden (PTS)";"16.36 - 17.41 MHz";"Sjöfartsradio (RR AP15, RR AP17)";"#008080"
"Sweden (PTS)";"17.41 - 17.48 MHz";"Fast radio";"#FF0077"
"Sweden (PTS)";"17.48 - 17.9 MHz";"Rundradio";"#80C0C0"
"Sweden (PTS)";"17.9 - 17.97 MHz";"Luftfartsradio (RR AP27)";"#5D88FF"
"Sweden (PTS)";"17.97 - 18.03 MHz";"Luftfartsradio (RR AP26)";"#5D88FF"
"Sweden (PTS)";"18.03 - 18.068 MHz";"Fast radio";"#FF0077"
"Sweden (PTS)";"18.068 - 18.168 MHz";"Amatörradio (Undantag från tillståndsplikt)";"#FF0000"
"Sweden (PTS)";"18.168 - 18.78 MHz";"Sjöfartsradio";"#008080"
"Sweden (PTS)";"18.78 - 18.9 MHz";"Sjöfartsradio (RR AP17)";"#008080"
"Sweden (PTS)";"18.9 - 19.02 MHz";"Rundradio";"#80C0C0"
"Sweden (PTS)";"19.02 - 19.68 MHz";"Fast radio";"#FF0077"
"Sweden (PTS)";"19.68 - 19.8 MHz";"Sjöfartsradio (RR AP15, RR AP17)";"#008080"
"Sweden (PTS)";"19.8 - 19.99 MHz";"Fast radio";"#FF0077"
"Sweden (PTS)";"19.99 - 20.01 MHz";"Standardfrekvens och tidssignal";"#FF00FF"
"Sweden (PTS)";"20.01 - 21 MHz";"Landmobil radio";"#FF0077"
"Sweden (PTS)";"21 - 21.45 MHz";"Amatörradio (Undantag från tillståndsplikt)";"#FF0000"
"Sweden (PTS)";"21.45 - 21.85 MHz";"Rundradio";"#80C0C0"
"Sweden (PTS)";"21.85 - 21.924 MHz";"Fast radio";"#FF0077"
"Sweden (PTS)";"21.924 - 22 MHz";"Luftfartsradio (RR AP27)";"#5D88FF"
"Sweden (PTS)";"22 - 22.855 MHz";"Sjöfartsradio (RR AP15, RR AP17)";"#008080"
"Sweden (PTS)";"22.855 - 23 MHz";"Fast radio";"#FF0077"
"Sweden (PTS)";"23 - 23.2 MHz";"Sjöfartsradio";"#008080"
"Sweden (PTS)";"23.2 - 23.35 MHz";"Luftfartsradio";"#5D88FF"
"Sweden (PTS)";"23.35 - 24 MHz";"Sjöfartsradio";"#008080"
"Sweden (PTS)";"24 - 24.89 MHz";"Fast radio";"#FF0077"
"Sweden (PTS)";"24.89 - 24.99 MHz";"Amatörradio (Undantag från tillståndsplikt)";"#FF0000"
"Sweden (PTS)";"24.99 - 25.01 MHz";"Standardfrekvens och tidssignal";"#FF00FF"
"Sweden (PTS)";"25.01 - 25.07 MHz";"Sjöfartsradio";"#008080"
"Sweden (PTS)";"25.07 - 25.21 MHz";"Sjöfartsradio (RR AP17)";"#008080"
"Sweden (PTS)";"25.21 - 25.55 MHz";"Sjöfartsradio";"#008080"
"Sweden (PTS)";"25.55 - 25.67 MHz";"Radioastronomi (Onsala rymdobservatorium)";"#FFFF00"
"Sweden (PTS)";"25.67 - 26.1 MHz";"Rundradio";"#80C0C0"
"Sweden (PTS)";"26.1 - 26.175 MHz";"Sjöfartsradio (RR AP15, RR AP17)";"#008080"
"Sweden (PTS)";"26.175 - 27.5 MHz";"Personsökning";"#FFCE83"
"Sweden (PTS)";"27.5 - 28 MHz";"Landmobil radio";"#FF0077"
"Sweden (PTS)";"28 - 29.7 MHz";"Amatörradio (Undantag från tillståndsplikt)";"#FF0000"
"Sweden (PTS)";"28.32875 - 28.34125 MHz";"10-metersringen (mer ...) - Borås";"#FF0000"
"Sweden (PTS)";"29.60375 - 29.61625 MHz";"FM-ringen (mer ...) - Borås";"#FF0000"
"Sweden (PTS)";"29.67375 - 29.68625 MHz";"FM Repeater -100kHz - Göteborg";"#FF0000"
"Sweden (PTS)";"29.68375 - 29.69625 MHz";"Repeater - SM6VBT/R - Göteborg - Göteborg / Mölndal - Repeater på 10m";"#FF0000"
"Sweden (PTS)";"29.7 - 30 MHz";"Landmobil radio";"#FF0077"
"Sweden (PTS)";"30 - 37.5 MHz";"Aktiva medicinska implantat (Undantag från tillståndsplikt, Not 1)";"#7676FF"
"Sweden (PTS)";"37.5 - 38.25 MHz";"Radioastronomi (Onsala rymdobservatorium)";"#FFFF00"
"Sweden (PTS)";"38.25 - 40.66 MHz";"Landmobil radio";"#FF0077"
"Sweden (PTS)";"40.66 - 40.7 MHz";"Allmän kortdistansradio (Undantag från tillståndsplikt, Not 1)";"#006179"
"Sweden (PTS)";"40.7 - 41.015 MHz";"Landmobil radio";"#FF0077"
"Sweden (PTS)";"41.015 - 50 MHz";"Radiobestämning (Undantag från tillståndsplikt, Not 1)";"#FFFFFF"
"Sweden (PTS)";"43.09375 - 43.10625 MHz";"Speakermikrofon, Bergslätt - Ed";"#FFFFFF"
